created_at,follower,follower_increase,EXECUTION
2018/04/12 0:00:00,2843,0,
2018/04/13 0:00:00,2875,32,
2018/04/14 0:00:00,2878,3,
2018/04/15 0:00:00,2909,31,
2018/04/16 0:00:00,2918,9,
2018/04/17 0:00:00,2935,17,
2018/04/18 0:00:00,2965,30,
2018/04/19 0:00:00,2987,22,
2018/04/20 0:00:00,3018,31,
2018/04/21 0:00:00,3092,74,
2018/04/22 0:00:00,3115,23,
2018/04/23 0:00:00,3136,21,
2018/04/24 0:00:00,3140,4,
2018/04/25 0:00:00,3165,25,
2018/04/26 0:00:00,5254,2089,文字起こし君リリース
2018/04/27 0:00:00,5698,444,
2018/04/28 0:00:00,5752,54,
2018/04/29 0:00:00,5827,75,
2018/04/30 0:00:00,5901,74,
2018/05/01 0:00:00,5927,26,嫁と旅行。フォロワー会議
2018/05/02 0:00:00,5917,-10,
2018/05/03 0:00:00,5942,25,
2018/05/04 0:00:00,5962,20,
2018/05/05 0:00:00,6076,114,お役立ち情報RT祭り
2018/05/06 0:00:00,6380,304,お役立ち情報RT祭り
2018/05/07 0:00:00,6513,133,お役立ち情報RT祭り
2018/05/08 0:00:00,6592,79,クラファン奨学金
2018/05/09 0:00:00,6689,97,盲目のクラファン
2018/05/10 0:00:00,6716,27,上記のnote記事
2018/05/11 0:00:00,6732,16,Hololens クラファン
2018/05/12 0:00:00,6754,22,論文ツイート
2018/05/13 0:00:00,6812,58,プログラミング・キャリア系のツイート
2018/05/14 0:00:00,6909,97,VR note記事・ツイッター転職記事
2018/05/15 0:00:00,6906,-3,特になし
2018/05/16 0:00:00,6981,75,特になし
2018/05/17 0:00:00,7068,87,特になし
2018/05/18 0:00:00,7100,32,特になし
2018/05/19 0:00:00,7223,123,退職エントリ
2018/05/20 0:00:00,7492,269,ツイッター拡散術まとめ
2018/05/21 0:00:00,7584,92,適当にツイート
2018/05/22 0:00:00,7687,103,子どもHTML CSSツイート、パラサイト型
2018/05/23 0:00:00,7753,66,特になし
2018/05/24 0:00:00,7831,78,特になし
2018/05/25 0:00:00,7925,94,特になし
2018/05/26 0:00:00,7951,26,特になし
2018/05/27 0:00:00,7970,19,特になし
2018/05/28 0:00:00,8100,130,お役立ちツイート(過去の焼き直し)
2018/05/29 0:00:00,8221,121,お役立ちツイート(過去の焼き直し)
2018/05/30 0:00:00,8247,26,特になし
2018/05/31 0:00:00,8270,23,特になし
2018/06/01 0:00:00,8316,46,お役立ちツイート画像
2018/06/02 0:00:00,8377,61,
2018/06/03 0:00:00,8458,81,"https://twitter.com/never_be_a_pm/status/992226699294093312
https://twitter.com/never_be_a_pm/status/1003593468118102016"
2018/06/04 0:00:00,8500,42,下ネタツイート
2018/06/05 0:00:00,8544,44,下ネタツイート
2018/06/06 0:00:00,8572,28,特になし
2018/06/07 0:00:00,8609,37,特になし
2018/06/08 0:00:00,8633,24,特になし
2018/06/09 0:00:00,8637,4,特になし
2018/06/10 0:00:00,8637,0,特になし
2018/06/11 0:00:00,8637,0,特になし
2018/06/12 0:00:00,8691,54,お役立ちツイート（Kaggle）
2018/06/13 0:00:00,8692,1,
2018/06/14 0:00:00,8720,28,
2018/06/15 0:00:00,8735,15,
2018/06/16 0:00:00,8745,10,
2018/06/17 0:00:00,8750,5,
2018/06/18 0:00:00,8750,0,
2018/06/19 0:00:00,8750,0,
2018/06/20 0:00:00,8781,31,
2018/06/21 0:00:00,8783,2,
2018/06/22 0:00:00,8833,50,
2018/06/23 0:00:00,8827,-6,
2018/06/24 0:00:00,8951,124,
2018/06/25 0:00:00,9406,455,
2018/06/26 0:00:00,9455,49,
2018/06/27 0:00:00,9455,0,
2018/06/28 0:00:00,9485,30,
2018/06/29 0:00:00,9508,23,
2018/06/30 0:00:00,9565,57,
2018/07/01 0:00:00,9635,70,ゼロから始めるディープラーニング note
2018/07/02 0:00:00,9680,45,
2018/07/03 0:00:00,9710,30,
2018/07/04 0:00:00,9780,70,Bootstrap チュートリアル
2018/07/05 0:00:00,9813,33,
2018/07/06 0:00:00,9828,15,
2018/07/07 0:00:00,9888,60,1万フォロワーいったらやります系
2018/07/08 0:00:00,9939,51,スケベQIITA
2018/07/09 0:00:00,10065,126,Web UI
2018/07/10 0:00:00,10204,139,Web UI
2018/07/11 0:00:00,10223,19,
2018/07/12 0:00:00,10224,1,
2018/07/13 0:00:00,10295,71,
2018/07/14 0:00:00,10333,38,
2018/07/15 0:00:00,10354,21,
2018/07/16 0:00:00,10393,39,
2018/07/17 0:00:00,10692,299,プログラミングスキルのある学生が時給2000円で働いていて、大学生の時ぼくはプログラミングをなぜもっと早くやらなかったのだととても後悔している。家でできるし、学ぶだけ市場価値上がる。僕はなぜコンビニで朝6時に起きて、3時間無心でおにぎりを握って時給880円で労働してたんだ。
2018/07/18 0:00:00,10754,62,
2018/07/19 0:00:00,10781,27,
2018/07/20 0:00:00,10809,28,
2018/07/21 0:00:00,10839,30,
2018/07/22 0:00:00,11249,410,"""プログラミング独学者向けに、圧倒的に質の高い情報だけ発信するサイトを作りました！

第二弾は、Pythonでできることと、どうやって勉強すればいいのかをまとめた記事になります！エンジニア以外もプログラミングができるとめっちゃくちゃ便利なのがわかる記事です。ぜひ！

https://t.co/vs2QrGcX5G https://t.co/Dp45zyUh10"""
2018/07/23 0:00:00,11545,296,
2018/07/24 0:00:00,11692,147,
2018/07/25 0:00:00,11757,65,
2018/07/26 0:00:00,11841,84,
2018/07/27 0:00:00,11854,13,
2018/07/28 0:00:00,12002,148,
